Applied_At,Status,Priority,Company,Job_Title,Location,Match_Pct,Platform,URL,Notes
,discovered,🟢 GOOD MATCH,geidea,Senior .NET Engineer,"Bengaluru, Karnataka, India",82.0%,linkedin,https://in.linkedin.com/jobs/view/senior-net-engineer-at-geidea-4464303580,"Strong tech matches: c#, .net, rest api | Senior / Lead level role | Banking / Fintech domain (Strong match)"
,skipped,🟢 GOOD MATCH,Cimpress India,Senior Software Engineer,"Bengaluru, Karnataka, India",81.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-cimpress-india-4442290746,Already applied on Linkedin (Cimpress India - Senior Software Engineer (MLOps))
2026-09-06 08:00:06,applied,🟢 GOOD MATCH,Populace World Solutions,Dot net Full Stack Developer,"Pune District, Maharashtra, India",81.8%,linkedin,https://in.linkedin.com/jobs/view/dot-net-full-stack-developer-at-populace-world-solutions-4463730032,
2026-09-06 08:26:46,applied,🟢 GOOD MATCH,Kibo Commerce,"SDET(Java/C#, GenAI, Playwright)",Pune,81.3%,naukri,https://www.naukri.com/job-listings-sdet-java-c-genai-playwright-kibo-commerce-pune-3-to-7-years-050925501543,"Strong tech matches: c#, playwright | Standard SDET role | Standard employer"
2026-09-06 13:35:28,applied,🟢 GOOD MATCH,Lacento Technologies Private Limited,.Net Developer- .Net/ASP.Net,"Mumbai, Maharashtra, India",80.8%,linkedin,https://in.linkedin.com/jobs/view/net-developer-net-asp-net-at-lacento-technologies-private-limited-4462674486,"Strong tech matches: c#, .net | Acceptable exp range (5-5 yrs) | Standard employer"
2026-09-06 16:32:32,applied,🟢 GOOD MATCH,Energy Exemplar,Principal Software Engineer,"Pune Division, Maharashtra, India",80.8%,linkedin,https://in.linkedin.com/jobs/view/principal-software-engineer-at-energy-exemplar-4426604602,"Strong tech matches: c#, .net, ci/cd | Perfect experience match (9-9 yrs) | Standard employer"
2026-09-07 08:25:38,queued_external,🟢 GOOD MATCH,Decklar,Quality Assurance Technical Lead,"Ahmedabad, Gujarat, India",80.5%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-technical-lead-at-decklar-4462901957,"Strong tech matches: playwright, ai | Senior / Lead level role | Standard employer"
2026-09-07 08:25:59,applied,🟢 GOOD MATCH,Meril,Software Developer | C# | WPF,"Vapi, Gujarat, India",80.3%,linkedin,https://in.linkedin.com/jobs/view/software-developer-c%23-wpf-at-meril-4439157622,"Strong tech matches: c#, .net, ci/cd | Slightly junior (2 yrs req) | Standard employer"
2026-09-06 05:34:25,queued_external,🟢 GOOD MATCH,CGI,Automation Testing :: C# Selenium with BDD Framework (Specflow),"Bengaluru, Karnataka, India",80.3%,linkedin,https://in.linkedin.com/jobs/view/automation-testing-c%23-selenium-with-bdd-framework-specflow-at-cgi-4463643238,
2026-09-07 08:42:51,applied,🟢 GOOD MATCH,HeadSpin,Services Center .NET Software Developer,India,80.2%,linkedin,https://in.linkedin.com/jobs/view/services-center-net-software-developer-at-headspin-4462788851,"Strong tech matches: c#, .net | Acceptable exp range (5-5 yrs) | Standard employer"
,discovered,🟢 GOOD MATCH,Experian,Senior Software Development Engineer in Test,Hyderabad,80.1%,naukri,https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-experian-services-india-private-limited-hyderabad-5-to-10-years-070926915071,Strong tech matches: ai | Acceptable exp range (5-10 yrs) | Banking / Fintech domain (Strong match)
,discovered,🟢 GOOD MATCH,ThreatXIntel,Software Engineer – C# .NET Developer (Full-Time | Onsite),"Chennai, Tamil Nadu, India",79.8%,linkedin,https://in.linkedin.com/jobs/view/software-engineer-%E2%80%93-c%23-net-developer-full-time-onsite-at-threatxintel-4462942176,"Strong tech matches: c#, .net, ci/cd, nunit | Standard SDET role | Standard employer"
2026-09-06 05:25:11,applied,🟢 GOOD MATCH,Tech Mahindra,Playwright Lead QA Automation Engineers | Mumbai & Pune | Immediate Hiring,"Pune City, Maharashtra, India",79.8%,linkedin,https://in.linkedin.com/jobs/view/playwright-lead-qa-automation-engineers-mumbai-pune-immediate-hiring-at-tech-mahindra-4461467181,Strong tech matches: playwright | Senior / Lead level role | Standard employer
2026-09-06 05:33:34,skipped,🟢 GOOD MATCH,Kaseya,Software Engineer II,"Pune Division, Maharashtra, India",79.8%,linkedin,https://in.linkedin.com/jobs/view/software-engineer-ii-at-kaseya-4453707792,Reached step limit without reaching submission
2026-09-06 09:30:45,applied,🟢 GOOD MATCH,Recro,Historian System and Software Engineer,"Bengaluru, Karnataka, India",79.3%,linkedin,https://in.linkedin.com/jobs/view/historian-system-and-software-engineer-at-recro-4445143514,
2026-09-06 05:33:36,skipped,🟢 GOOD MATCH,Populace World Solutions,Dot Net Lead,"Pune District, Maharashtra, India",79.3%,linkedin,https://in.linkedin.com/jobs/view/dot-net-lead-at-populace-world-solutions-4463729012,Reached step limit without reaching submission
,discovered,🟢 GOOD MATCH,"MaxVal Group, Inc.",Senior Dotnet Developer,"Bengaluru, Karnataka, India",78.8%,linkedin,https://in.linkedin.com/jobs/view/senior-dotnet-developer-at-maxval-group-inc-4464319164,"Strong tech matches: c#, .net, azure devops, ci/cd, nunit | Slightly junior (4 yrs req) | Standard employer"
2026-09-06 09:31:01,applied,🟢 GOOD MATCH,Cimpress India,Senior Software Engineer (MLOps),"Bengaluru, Karnataka, India",78.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-mlops-at-cimpress-india-4455499926,
2026-09-06 05:33:40,queued_external,🟢 GOOD MATCH,Codvo,Senior SDET Performance Engineering,Pune,78.8%,naukri,https://www.naukri.com/job-listings-senior-sdet-performance-engineering-codvo-ai-pune-10-to-15-years-290626505183,Perfect experience match (10-15 yrs) | Standard employer
2026-09-06 05:34:31,queued_external,🟢 GOOD MATCH,Wsaudiology,Lead C# Developer (Automation Tooling),Hyderabad,78.8%,naukri,https://www.naukri.com/job-listings-lead-c-developer-automation-tooling-wsaudiology-hyderabad-5-to-10-years-080726503239,"Strong tech matches: c#, nunit | Acceptable exp range (5-10 yrs) | Standard employer"
,skipped,🟢 GOOD MATCH,Talentgigs,Lead Quality Assurance Engineer – Customer Delivery,"Coimbatore, Tamil Nadu, India",78.3%,linkedin,https://in.linkedin.com/jobs/view/lead-quality-assurance-engineer-%E2%80%93-customer-delivery-at-talentgigs-4462674199,Reached step limit without reaching submission
2026-09-06 13:34:36,queued_external,🟢 GOOD MATCH,Dev Solutions,"Senior SDET : OTT,AWS,API","Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",78.0%,naukri,https://www.naukri.com/job-listings-senior-sdet-ott-aws-api-dev-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-130624500297,Strong tech matches: selenium | Slightly junior (4 yrs req) | Standard employer
,skipped,🟢 GOOD MATCH,LogixHealth,Senior Software Engineer (.Net Full Stack & AI),"Bengaluru, Karnataka, India",77.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-net-full-stack-ai-at-logixhealth-4462689216,Already applied on Linkedin (LogixHealth - Senior Software Engineer(Allscripts))
2026-09-06 05:34:35,queued_external,🟢 GOOD MATCH,Qeagle Assurance,Sr. SDET C#,Chennai,77.8%,naukri,https://www.naukri.com/job-listings-sr-sdet-c-qeagle-assurance-private-limited-chennai-5-to-10-years-130726502670,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
,skipped,🟢 GOOD MATCH,Talentgigs,Fullstack Dotnet Developer - Angular,"Chennai, Tamil Nadu, India",77.6%,linkedin,https://in.linkedin.com/jobs/view/fullstack-dotnet-developer-angular-at-talentgigs-4462677193,Reached step limit without reaching submission
,discovered,🟢 GOOD MATCH,Innova ESI,Quality Engineer (QE) – Automation Testing(Selenium/Catalon))),"Bengaluru, Karnataka, India",77.5%,linkedin,https://in.linkedin.com/jobs/view/quality-engineer-qe-%E2%80%93-automation-testing-selenium-catalon-at-innova-esi-4464310103,"Strong tech matches: selenium, ci/cd | Acceptable exp range (5-5 yrs) | Standard employer"
,discovered,🟢 GOOD MATCH,North Hires,QA Automation Engineer (Immediate Joiner),"Bengaluru, Karnataka, India",77.3%,linkedin,https://in.linkedin.com/jobs/view/qa-automation-engineer-immediate-joiner-at-north-hires-4462912946,"Strong tech matches: playwright, selenium, azure devops, ci/cd | Standard SDET role | Standard employer"
2026-09-07 08:20:44,applied,🟢 GOOD MATCH,InfoVision Inc.,Senior Dotnet Developer,"Pune District, Maharashtra, India",77.3%,linkedin,https://in.linkedin.com/jobs/view/senior-dotnet-developer-at-infovision-inc-4462907949,"Strong tech matches: c#, .net, ci/cd, ai, copilot | Slightly junior (4 yrs req) | Standard employer"
,skipped,🟢 GOOD MATCH,Connor Group,Digital Solutions - AI & Automation - Senior Developer (Boomi + Workato) (Location: India),"Maharashtra, India",77.3%,linkedin,https://in.linkedin.com/jobs/view/digital-solutions-ai-automation-senior-developer-boomi-%2B-workato-location-india-at-connor-group-4336645667,Reached step limit without reaching submission
2026-09-06 05:34:38,queued_external,🟢 GOOD MATCH,Intech,Senior C# Test Automation Engineer (Audio & Measurement),Kochi,77.2%,naukri,https://www.naukri.com/job-listings-senior-c-test-automation-engineer-audio-measurement-in-tech-kochi-6-to-8-years-030926503936,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 05:34:41,queued_external,🟢 GOOD MATCH,Trbitix,Senior QA Automation Engineer (C#,Noida,77.2%,naukri,https://www.naukri.com/job-listings-senior-qa-automation-engineer-c-trbitix-noida-7-to-9-years-160226503411,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 08:26:46,applied,🟢 GOOD MATCH,RBS Lynk,"Automation Tester (C#, SDET, Specflow)",Indore,77.2%,naukri,https://www.naukri.com/job-listings-automation-tester-c-sdet-specflow-worldpay-indore-4-to-6-years-020726500239,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 05:34:48,queued_external,🟢 GOOD MATCH,Infosys,Java_ Selenium Senior Testing Engineer,"Bhubaneswar, Odisha, India",76.8%,linkedin,https://in.linkedin.com/jobs/view/java-selenium-senior-testing-engineer-at-infosys-4444653911,
2026-09-06 05:34:52,queued_external,🟢 GOOD MATCH,Securiti.ai,Senior SDET,Bengaluru,76.8%,naukri,https://www.naukri.com/job-listings-senior-sdet-securiti-ai-bengaluru-5-to-10-years-120626501310,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 09:31:49,applied,🟢 GOOD MATCH,ZettaMine Labs Pvt. Ltd.,[FNL552N6] Salesforce QA Automation Engineer,"Bengaluru, Karnataka, India",76.8%,linkedin,https://in.linkedin.com/jobs/view/fnl552n6-salesforce-qa-automation-engineer-at-zettamine-labs-pvt-ltd-4461463040,
2026-09-06 05:34:59,queued_external,🟢 GOOD MATCH,Infosys,API Testing - (Playwright / Rest Assured),"Bengaluru East, Karnataka, India",76.5%,linkedin,https://in.linkedin.com/jobs/view/api-testing-playwright-rest-assured-at-infosys-4435028050,
2026-09-06 05:35:02,queued_external,🟢 GOOD MATCH,Clean Harbors,Sr Test Engineer - Automation,"Hyderabad, Telangana, India",76.2%,linkedin,https://in.linkedin.com/jobs/view/sr-test-engineer-automation-at-clean-harbors-4427621182,
2026-09-05 19:42:48,applied,🟢 GOOD MATCH,Intellicredence,Sr. QA Automation Engineer / SDET,Hyderabad,76.2%,naukri,https://www.naukri.com/job-listings-sr-qa-automation-engineer-sdet-intellicredence-hyderabad-6-to-8-years-040826013104,Senior / Lead level role | Standard employer
2026-09-06 05:35:06,queued_external,🟢 GOOD MATCH,Assurant Solutions,Senior Technology Automation Engineer,Hyderabad,76.2%,naukri,https://www.naukri.com/job-listings-senior-technology-automation-engineer-assurant-hyderabad-0-to-9-years-040826502759,Senior / Lead level role | Standard employer
2026-09-06 09:31:52,queued_external,🟢 GOOD MATCH,Talentgigs,Fullstack Dotnet Developer - Angular,"Chennai, Tamil Nadu, India",76.1%,linkedin,https://in.linkedin.com/jobs/view/fullstack-dotnet-developer-angular-at-talentgigs-4462353635,
2026-09-06 05:26:51,queued_external,🟢 GOOD MATCH,CData Software,Automation QA Lead,"Bengaluru, Karnataka, India",75.2%,linkedin,https://in.linkedin.com/jobs/view/automation-qa-lead-at-cdata-software-4454561019,
2026-09-06 05:26:54,queued_external,🟢 GOOD MATCH,UPS,Senior Software Quality Engineer - Automation Testing,"Chennai, Tamil Nadu, India",75.2%,linkedin,https://in.linkedin.com/jobs/view/senior-software-quality-engineer-automation-testing-at-ups-4444392287,
2026-09-06 05:26:58,queued_external,🟢 GOOD MATCH,NMD Placement Consultancy,Senior Automation Engineer,"Mumbai, Maharashtra, India",75.2%,linkedin,https://in.linkedin.com/jobs/view/senior-automation-engineer-at-nmd-placement-consultancy-4461472171,
2026-09-06 05:27:02,queued_external,🟢 GOOD MATCH,WPP,Automation Senior Developer,"Chennai, Tamil Nadu, India",75.2%,linkedin,https://in.linkedin.com/jobs/view/automation-senior-developer-at-wpp-4441028466,
2026-09-06 05:27:05,queued_external,🟢 GOOD MATCH,Veeam Software,Senior SDET,"Bengaluru, Karnataka, India",75.2%,linkedin,https://in.linkedin.com/jobs/view/senior-sdet-at-veeam-software-4426668047,
2026-09-06 09:31:55,queued_external,🟢 GOOD MATCH,Veeam Software,Senior SDET,Bengaluru,75.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-veeam-software-private-limited-bengaluru-3-to-6-years-040926927095,
2026-09-06 09:31:58,queued_external,🟢 GOOD MATCH,Russell Investments,Senior SDET II,Mumbai,75.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-ii-russell-investments-mumbai-10-to-15-years-210726503825,
2026-09-05 19:41:53,applied,🟢 GOOD MATCH,Apexon,We are looking sr SDET with 5 To 8 years of experience,"Pune, Chennai, Bengaluru",75.2%,naukri,https://www.naukri.com/job-listings-we-are-looking-sr-sdet-with-5-to-8-years-of-experience-apexon-pune-chennai-bengaluru-5-to-8-years-110826020615,Acceptable exp range (5-8 yrs) | Standard employer
2026-09-06 09:32:02,queued_external,🟢 GOOD MATCH,Sophos,Senior SDET,Bengaluru,75.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-sophos-ltd-bengaluru-8-to-12-years-210826503182,
2026-09-05 19:43:39,applied,🟢 GOOD MATCH,Wissen Infotech,Senior SDET,Hybrid - Bengaluru,75.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-wissen-infotech-bengaluru-6-to-8-years-140826017098,Senior / Lead level role | Standard employer
2026-09-06 09:32:05,queued_external,🟢 GOOD MATCH,Fivetran,Senior Software Development Engineer in Test - Database Automation,Bengaluru,75.2%,naukri,https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-database-automation-fivetran-bengaluru-6-to-11-years-240826502763,
2026-09-06 09:32:08,queued_external,🟢 GOOD MATCH,Assurant Solutions,Senior Technology Automation Engineer,Bengaluru,75.2%,naukri,https://www.naukri.com/job-listings-senior-technology-automation-engineer-assurant-bengaluru-0-to-9-years-050826501425,
2026-09-05 19:44:22,applied,🟢 GOOD MATCH,NTT DATA BUSINESS SOLUTIONS,Senior Associate Automation Engineer,Mumbai,75.2%,naukri,https://www.naukri.com/job-listings-senior-associate-automation-engineer-ntt-data-services-india-private-limited-mumbai-6-to-10-years-210826923776,Senior / Lead level role | Standard employer
2026-09-05 20:10:17,applied,🟢 GOOD MATCH,Cloudxtreme,Senior level Microsoft .NET SDET,"Hyderabad, Chennai, Bengaluru",75.2%,naukri,https://www.naukri.com/job-listings-senior-level-microsoft-net-sdet-cloudxtreme-hyderabad-chennai-bengaluru-5-to-9-years-040926922359,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 05:27:25,queued_external,🟢 GOOD MATCH,Neo,Sr. Quality Assurance Engineer,"Bengaluru, Karnataka, India",74.8%,linkedin,https://in.linkedin.com/jobs/view/sr-quality-assurance-engineer-at-neo-4452926008,
2026-09-06 05:33:42,skipped,🟢 GOOD MATCH,BMC Software,Quality Automation Engineer,Pune/Pimpri-Chinchwad Area,74.8%,linkedin,https://in.linkedin.com/jobs/view/quality-automation-engineer-at-bmc-software-4436492561,Reached step limit without reaching submission
2026-09-06 05:33:46,skipped,🟢 GOOD MATCH,SAS,SDET,"Pune Division, Maharashtra, India",74.8%,linkedin,https://in.linkedin.com/jobs/view/sdet-at-sas-4461585966,Reached step limit without reaching submission
2026-09-06 05:27:28,queued_external,🟢 GOOD MATCH,AlgoSec,"Automation Tech Lead, India","New Delhi, Delhi, India",74.8%,linkedin,https://in.linkedin.com/jobs/view/automation-tech-lead-india-at-algosec-4463785018,
2026-09-06 05:27:32,queued_external,🟢 GOOD MATCH,First Citizens India,Lead Software Test Engineer - Appian,"Bengaluru, Karnataka, India",74.8%,linkedin,https://in.linkedin.com/jobs/view/lead-software-test-engineer-appian-at-first-citizens-india-4463725787,
2026-09-06 05:33:49,queued_external,🟢 GOOD MATCH,Mufg Pension & Market Services,Test Automation Analyst,Pune,74.8%,naukri,https://www.naukri.com/job-listings-test-automation-analyst-mufg-pension-market-services-pune-5-to-7-years-290126511447,Standard SDET role | Standard employer
2026-09-06 05:33:53,queued_external,🟢 GOOD MATCH,Mufg Pension & Market Services,Test Automation Analyst,Pune,74.8%,naukri,https://www.naukri.com/job-listings-test-automation-analyst-mufg-pension-market-services-pune-5-to-7-years-170726502535,Standard SDET role | Standard employer
2026-09-06 05:27:35,queued_external,🟢 GOOD MATCH,Amgen,Sr Associate Test Automation Engineer,"Hyderabad, Telangana, India",74.8%,linkedin,https://in.linkedin.com/jobs/view/sr-associate-test-automation-engineer-at-amgen-4463704148,
,discovered,🟢 GOOD MATCH,Innova ESI,Automation Testing - AEM,"Bengaluru, Karnataka, India",74.3%,linkedin,https://in.linkedin.com/jobs/view/automation-testing-aem-at-innova-esi-4464099295,Strong tech matches: selenium | Standard SDET role | Standard employer
2026-09-06 05:27:39,queued_external,🟢 GOOD MATCH,Sonatype,Senior Azure DevOps Engineer,"Hyderabad, Telangana, India",73.8%,linkedin,https://in.linkedin.com/jobs/view/senior-azure-devops-engineer-at-sonatype-4462378090,
